SurveyID,Country,Ecoregion,SiteCode,SiteLat,SiteLong,geom,SurveyDate,Depth,Apogon imberbis,Atherina hepsetus,Boops boops,Centrolabrus exoletus,Chelon labrosus,Chromis chromis,Chrysophrys auratus,Coris julis,Ctenolabrus rupestris,Dentex dentex,Diplodus annularis,Diplodus cervinus,Diplodus puntazzo,Diplodus sargus,Diplodus vulgaris,Epinephelus costae,Epinephelus marginatus,Gobius bucchichi,Gobius xanthocephalus,Labrus merula,Labrus viridis,Mullus surmuletus,Muraena helena,Oblada melanura,Octopus vulgaris,Pagrus pagrus,Parablennius pilicornis,Parablennius rouxi,Pomadasys incisus,Sarpa salpa,Sciaena umbra,Seriola dumerili,Serranus cabrilla,Serranus scriba,Spicara maena,Spicara smaris,Spondyliosoma cantharus,Symphodus cinereus,Symphodus doderleini,Symphodus mediterraneus,Symphodus melanocercus,Symphodus ocellatus,Symphodus roissali,Symphodus rostratus,Symphodus tinca,Thalassoma pavo,Tripterygion delaisi
912354177,Spain,Alboran Sea,MEL3,35.31,-2.95,POINT (-2.95 35.31),2020-08-01T14:00:00Z,5.3,0,0,0,0,0,116,0,356,0,0,0,0,0,0,51,0,2,0,0,0,0,2,0,22,1,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,0,4,0,0,12,155,0
912354167,Morocco,Alboran Sea,MEL31,35.29,-2.92,POINT (-2.92 35.29),2020-07-30T14:00:00Z,6.6,0,0,0,0,0,273,0,0,0,0,2,0,0,0,26,0,0,0,0,0,0,22,0,0,0,0,0,0,0,21,0,0,1,2,0,0,0,0,0,0,0,0,1,0,4,22,0
912354168,Morocco,Alboran Sea,MEL31,35.29,-2.92,POINT (-2.92 35.29),2020-07-30T14:00:00Z,12.2,0,0,0,0,0,123,0,50,0,0,0,0,0,0,16,0,0,0,0,0,0,44,0,15,0,0,0,0,0,0,0,0,14,4,0,0,2,0,1,0,0,14,0,0,2,10,0
912350292,Republic of Malta,Ionian Sea,MALT1,35.92,14.5,POINT (14.5 35.92),2016-06-17T14:00:00Z,11.0,27,0,0,0,0,9,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,20,3,0,0,0,0,0,25,0
912349155,Spain,Alboran Sea,AND46,36.72,-3.73,POINT (-3.73 36.72),2015-06-29T14:00:00Z,5.9,26,0,320,0,0,710,0,107,0,0,0,1,0,0,20,0,0,0,0,0,0,17,0,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,4,0,1,0,0,7,91,0
912349156,Spain,Alboran Sea,AND46,36.72,-3.73,POINT (-3.73 36.72),2015-06-29T14:00:00Z,6.3,3,0,455,0,0,732,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,13,0
912349157,Spain,Alboran Sea,AND47,36.71,-3.4,POINT (-3.4 36.71),2015-06-30T14:00:00Z,8.4,0,0,46,0,0,442,0,40,1,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,3,0,0,1,1,0,18,0
912349158,Spain,Alboran Sea,AND47,36.71,-3.4,POINT (-3.4 36.71),2015-06-30T14:00:00Z,9.0,0,0,1,0,0,507,0,41,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,9,0,0,0,0,0,0,1,0,2,4,1,0,75,0
912349159,Spain,Alboran Sea,AND48,36.71,-3.39,POINT (-3.39 36.71),2015-06-30T14:00:00Z,8.4,0,0,80,1,0,1050,0,53,0,0,0,1,0,1,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,7,0,4,2,1,0,127,0
912349160,Spain,Alboran Sea,AND48,36.71,-3.39,POINT (-3.39 36.71),2015-06-30T14:00:00Z,7.0,0,0,102,1,0,650,0,30,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,11,0,7,2,0,1,43,0
