mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_features,param_max_samples,param_min_samples_split,param_n_estimators,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
9.689083814620972,0.0,3.4171180725097656,0.0,True,1,0.75,2,500,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 2, 'n_estimators': 500}",0.008735551968047765,0.008735551968047765,0.0,202
1.0795559883117676,0.0,0.5817840099334717,0.0,True,1,0.75,5,50,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 5, 'n_estimators': 50}",0.011609667110555,0.011609667110555,0.0,88
1.7669110298156738,0.0,0.612520694732666,0.0,True,1,0.75,5,100,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 5, 'n_estimators': 100}",0.010814605451947974,0.010814605451947974,0.0,124
3.737717628479004,0.0,1.4403221607208252,0.0,True,1,0.75,5,200,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 5, 'n_estimators': 200}",0.009112433985240725,0.009112433985240725,0.0,190
5.548372268676758,0.0,2.150219678878784,0.0,True,1,0.75,5,300,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 5, 'n_estimators': 300}",0.009933845192984524,0.009933845192984524,0.0,154
6.5025458335876465,0.0,2.837170124053955,0.0,True,1,0.75,5,400,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 5, 'n_estimators': 400}",0.00969631525675765,0.00969631525675765,0.0,163
8.048140048980713,0.0,3.25329327583313,0.0,True,1,0.75,5,500,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 5, 'n_estimators': 500}",0.00912471247188586,0.00912471247188586,0.0,189
1.1236183643341064,0.0,0.5935008525848389,0.0,True,1,0.75,10,50,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 10, 'n_estimators': 50}",0.00898227142775677,0.00898227142775677,0.0,192
1.597726821899414,0.0,0.5969212055206299,0.0,True,1,0.75,10,100,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 10, 'n_estimators': 100}",0.008396056735116963,0.008396056735116963,0.0,211
3.154851198196411,0.0,1.4332046508789062,0.0,True,1,0.75,10,200,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 10, 'n_estimators': 200}",0.008667449440396864,0.008667449440396864,0.0,205
4.901391983032227,0.0,2.0971267223358154,0.0,True,1,0.75,10,300,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 10, 'n_estimators': 300}",0.008649841484371978,0.008649841484371978,0.0,206
