mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_features,param_max_samples,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.0451745986938477,0.084597087247502,0.03797612190246582,0.018432363429093174,True,1,0.5,2,50,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.5, 'min_samples_split': 2, 'n_estimators': 50}",-0.46999397872217963,-0.4374241112764994,-0.45628815153513413,-0.44292238755368823,-0.458789203252837,-0.45308356646806763,0.011638331435412572,216
2.19985408782959,0.1137596482540602,0.05155510902404785,0.02782192339939945,True,1,0.5,2,100,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.5, 'min_samples_split': 2, 'n_estimators': 100}",-0.46919704797288925,-0.43423852427731385,-0.4541776422531036,-0.44114363092398823,-0.4558795416708522,-0.4509272774196294,0.012191050233923282,215
5.044707107543945,0.37402722545360667,0.06897983551025391,0.012902953173280222,True,1,0.5,2,200,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.5, 'min_samples_split': 2, 'n_estimators': 200}",-0.466625054074311,-0.43356541572828977,-0.45471545877717817,-0.4410085688285808,-0.45423704831863804,-0.45003030914539954,0.011554370206812176,213
7.777791357040405,0.43045222491225055,0.12380757331848144,0.016481827053783718,True,1,0.5,2,300,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.5, 'min_samples_split': 2, 'n_estimators': 300}",-0.4650407617404698,-0.4346521740072454,-0.4539518166785351,-0.44253873090030343,-0.454212306317525,-0.45007915792881575,0.010495521546835865,214
10.817455577850343,0.5335484122312355,0.15214262008666993,0.024947536044800902,True,1,0.5,2,400,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.5, 'min_samples_split': 2, 'n_estimators': 400}",-0.464822135438384,-0.43437311355768754,-0.4537187729086191,-0.44208851163082385,-0.45431319632098477,-0.4498631459712999,0.010571908213503525,212
13.31003541946411,0.5809774898778564,0.15244345664978026,0.01787777163600297,True,1,0.5,2,500,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.5, 'min_samples_split': 2, 'n_estimators': 500}",-0.4645298749863608,-0.4339108321160325,-0.4531326543540736,-0.44185721784345233,-0.4543394664763231,-0.44955400915524846,0.010620107767814536,211
1.079629945755005,0.06977115644468317,0.05079030990600586,0.010037632489209785,True,1,0.5,5,50,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.5, 'min_samples_split': 5, 'n_estimators': 50}",-0.45430253087846534,-0.42736923596049076,-0.44102706281881826,-0.43640068154084083,-0.4400023561219229,-0.43982037346410763,0.008694218978663744,190
2.1551723957061766,0.17392554678402386,0.06709485054016114,0.02977656128251811,True,1,0.5,5,100,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.5, 'min_samples_split': 5, 'n_estimators': 100}",-0.4532843877882947,-0.4226863345291859,-0.4421356484700502,-0.4302381419026244,-0.4424901002021337,-0.4381669225784578,0.010634778546785132,182
4.3091497898101805,0.2619790599397115,0.09124484062194824,0.017677653201996876,True,1,0.5,5,200,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.5, 'min_samples_split': 5, 'n_estimators': 200}",-0.4534747637920216,-0.42420249332984733,-0.4396941371067378,-0.4312205099145971,-0.4427099395847124,-0.4382603687455832,0.010005155296741083,183
6.303388977050782,0.20095144540111215,0.11999650001525879,0.04388070442558533,True,1,0.5,5,300,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.5, 'min_samples_split': 5, 'n_estimators': 300}",-0.455890659215458,-0.42505795091084636,-0.4423111968932624,-0.4319354260762776,-0.4434714564200221,-0.43973333790317326,0.010562692187523025,189
8.218931198120117,0.1611558453336429,0.21023330688476563,0.12338653160623406,True,1,0.5,5,400,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.5, 'min_samples_split': 5, 'n_estimators': 400}",-0.4552440737527418,-0.4253438018767334,-0.44197231697026906,-0.43188140519406,-0.4433542904101777,-0.43955917764079644,0.010269052402784432,188
10.355668783187866,0.584753718403455,0.20988121032714843,0.07992362060000717,True,1,0.5,5,500,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.5, 'min_samples_split': 5, 'n_estimators': 500}",-0.45496955991739646,-0.42535191256247296,-0.442941264821242,-0.43245565093109395,-0.4436076263063775,-0.4398652029077166,0.010170020133767351,191
0.883229923248291,0.10858710354315756,0.0966984748840332,0.07264612547755661,True,1,0.5,10,50,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.5, 'min_samples_split': 10, 'n_estimators': 50}",-0.43684543956475397,-0.41678101054367955,-0.43302387276474164,-0.4238981951002893,-0.4258709545614632,-0.42728389450698556,0.007044720372024351,120
1.6375584602355957,0.1615728532165231,0.06368207931518555,0.017774904191559183,True,1,0.5,10,100,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.5, 'min_samples_split': 10, 'n_estimators': 100}",-0.43666277013203825,-0.4153240916434493,-0.4337375690476425,-0.41836284409828,-0.42916045840057554,-0.42664954666439714,0.008411239553311854,118
3.5082765579223634,0.28808730633638113,0.29305644035339357,0.12757038150397015,True,1,0.5,10,200,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.5, 'min_samples_split': 10, 'n_estimators': 200}",-0.4350231074595854,-0.4170242064475766,-0.42930170522734584,-0.41947681491964967,-0.42680904600355707,-0.42552697601154293,0.006556986138331109,107
4.998693895339966,0.2833759372588814,0.231361722946167,0.19418263136625766,True,1,0.5,10,300,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.5, 'min_samples_split': 10, 'n_estimators': 300}",-0.4346099314205873,-0.4175995791248644,-0.42847340980734944,-0.42070861412026,-0.4268538206792688,-0.425649071030466,0.005982102717173796,109
6.675099611282349,0.19657925111270946,0.17999610900878907,0.07906135042599113,True,1,0.5,10,400,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.5, 'min_samples_split': 10, 'n_estimators': 400}",-0.4353660197017442,-0.41760764600492245,-0.4283110419222452,-0.42175766182699337,-0.42681022772919325,-0.4259705194370197,0.006035634217343927,111
8.266181039810181,0.5661684530795706,0.26590805053710936,0.09911109094513566,True,1,0.5,10,500,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.5, 'min_samples_split': 10, 'n_estimators': 500}",-0.43501406156154504,-0.41778639825579716,-0.4276734939205141,-0.42226226298988095,-0.42645403158424333,-0.42583804966239613,0.005754351821478203,110
1.639077091217041,0.06825828827119985,0.11423888206481933,0.0704540309537334,True,1,0.75,2,50,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 2, 'n_estimators': 50}",-0.4547773407813489,-0.42833881477610763,-0.44479196314803604,-0.4363649471750861,-0.444216079021979,-0.4416978289805115,0.008875717067711657,197
3.2131402015686037,0.20630828792304715,0.14897427558898926,0.10718892861155183,True,1,0.75,2,100,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 2, 'n_estimators': 100}",-0.45500338402987156,-0.425285868353763,-0.44573231696340404,-0.4359724998816884,-0.4452483712569129,-0.441448488097128,0.010077124881982072,193
6.548394298553466,0.2766755945806483,0.07618684768676758,0.02723371954220296,True,1,0.75,2,200,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 2, 'n_estimators': 200}",-0.45787949996692706,-0.42449122306173004,-0.44484238077153354,-0.43501802309309917,-0.44525000171998685,-0.4414962257226553,0.011178877292643993,194
